path,filename,class_name,label,total_frames,fps,width,height,resolution,duration_sec,file_size_mb,readable,md5
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_16.mp4,videyyyyyyyyyss_16.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.56,True,f00714ef4f5a0cf18130e01fd0e9a59c
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_89.mp4,shop_lifter_89.mp4,shop lifters,1,500,25.0,704,576,704x576,20.0,3.79,True,58e5469e21cf65f6f05aca012cb5db0a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_86.mp4,shop_lifter_86.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,2.46,True,0a938c3cfc464c819b1554506bb669ef
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_26.mp4,videppppsss_26.mp4,shop lifters,1,400,25.0,704,576,704x576,16.0,0.66,True,3117fcc6f962860fc1d66a933f078f2b
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_62.mp4,shop_lifter_62.mp4,shop lifters,1,174,24.75,704,576,704x576,7.03,1.46,True,b1c8ee511de687cee33687979fc7038a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_20.mp4,shop_lifter_20.mp4,shop lifters,1,446,24.75,704,576,704x576,18.02,3.44,True,83f05d044ff307a54f443e021de7b4df
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_20.mp4,videyyyyyyzzzzzyyyss_20.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.36,True,690a4981f4d30404343efc02b0df41a2
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_67.mp4,shop_lifter_67.mp4,shop lifters,1,347,24.75,704,576,704x576,14.02,3.13,True,7a9267879729151a36144445c8520e8a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_93.mp4,shop_lifter_93.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,2.74,True,c9f59faac02446142ac980b1004e3e38
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_46.mp4,videppppsss_46.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.74,True,aac29dbeed5e84295bca3cd3d0b3c7db
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_56.mp4,videyyyyyyyyyss_56.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.51,True,63ce0bb0fb5a2713851b00153cde575c
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_5.mp4,videyyyyyyyyyss_5.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.4,True,619a5f5bb524afba2fe933554b6fe43b
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_65.mp4,videyyyyyyyyyss_65.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.59,True,0bb281c7cd25089f031143b349e68b3c
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_33.mp4,videyyyyyyyyyss_33.mp4,shop lifters,1,175,25.0,704,576,704x576,7.0,0.32,True,02b9d2bf0f08cf49ccfa5117515947ce
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_101.mp4,videmmmmmmsss_101.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,0.38,True,015764aaec3cb2e7b05bd9dc7cd7bcaa
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_55.mp4,videppppsss_55.mp4,shop lifters,1,150,25.0,704,576,704x576,6.0,0.32,True,acac75902068d2a068f947939e30a84e
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_122.mp4,shop_lifter_122.mp4,shop lifters,1,400,25.0,704,576,704x576,16.0,3.15,True,885047155c59f526fcea9770c5306d96
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_41.mp4,shop_lifter_41.mp4,shop lifters,1,396,24.75,704,576,704x576,16.0,3.1,True,9a8b1cc5fee24457d67c1b7c7f181e8a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_1.mp4,shop_lifter_1.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.92,True,319029c692def14f86baeece11a9d2d3
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_113.mp4,shop_lifter_113.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,2.54,True,a87ba2834ab65f0d3452d6123732b412
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_31.mp4,videyyyyyyyyyss_31.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.42,True,61675f0e86b45b8787e50175e46b0655
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_69.mp4,shop_lifter_69.mp4,shop lifters,1,198,24.75,704,576,704x576,8.0,1.65,True,c91be1cb194925ef9c25d0b9e347d9c6
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_71.mp4,shop_lifter_71.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,2.06,True,9e4db87f8533247f9e3711c7d754363f
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_25.mp4,videyyyyyyyyyss_25.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.67,True,ff40a3a5d717b714ccad4f9a934042a3
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_18.mp4,videyyyyyynnnnnnzzzzzyyyss_18.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.47,True,cef1a4c16b6282c2eb229ead47399f38
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_44.mp4,videppppsss_44.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.66,True,908e68a57eeb580d5f7fd0a3d0f9f71a
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_63.mp4,shop_lifter_63.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.8,True,baeca0e6967668bd15dbb986d265e3b3
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_99.mp4,videmmmmmmsss_99.mp4,shop lifters,1,273,24.75,704,576,704x576,11.03,0.49,True,f68ae8903d16bf8c366ce6d684a0be83
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_100.mp4,videmmmmmmsss_100.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,0.39,True,453109d405a31bb5361b3c8c58881ee4
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_35.mp4,videppppsss_35.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,0.65,True,0020b24510b50a798794467c134a0024
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_7.mp4,videyyyyyyzzzzzyyyss_7.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.51,True,d7bdde39a1cc3a0082957f6d79c1e82d
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_17.mp4,videyyyyyyyyyss_17.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.66,True,3d948414ed34e64cc327b3a3241768dc
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_29.mp4,videyyyyyynnnnnnzzzzzyyyss_29.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.45,True,0a1646cd235913959c26bfc3747930cb
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_2.mp4,shop_lifter_2.mp4,shop lifters,1,174,24.75,704,576,704x576,7.03,1.43,True,e755db1dabf4243eee1342f58dad447c
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_28.mp4,videyyyyyynnnnnnzzzzzyyyss_28.mp4,shop lifters,1,150,25.0,704,576,704x576,6.0,0.31,True,a60f1b89f067f0331937d904bbde70a9
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_120.mp4,shop_lifter_120.mp4,shop lifters,1,475,25.0,704,576,704x576,19.0,3.69,True,46974683d00d286767499bdc08dee234
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_64.mp4,videyyyyyyyyyss_64.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.51,True,9e8205148897ba2e35eb290dc426bb87
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_57.mp4,shop_lifter_57.mp4,shop lifters,1,198,24.75,704,576,704x576,8.0,1.63,True,32a56149114c6f6c75a82efd32955c0a
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_97.mp4,videmmmmmmsss_97.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,0.35,True,d6f36893a4096332b31b6130e334868e
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_43.mp4,shop_lifter_43.mp4,shop lifters,1,421,24.75,704,576,704x576,17.01,3.36,True,f836b1ad4866795cecca6f725f253aba
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_80.mp4,shop_lifter_80.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.72,True,9a23997ab3e45d0c31db19f064bd05d6
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_49.mp4,videppppsss_49.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.63,True,c3b52a3214c6c6a9369ea24f533d1366
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_3.mp4,videyyyyyyyyyss_3.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.58,True,f0bd805a345803a3cd9f52af3e49162d
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_48.mp4,videppppsss_48.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.52,True,739c93657d9cdd732c90a07ce3892428
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_50.mp4,videppppsss_50.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.35,True,ca4275a41a531c3d9ed705082ed38143
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_35.mp4,videyyyyyyyyyss_35.mp4,shop lifters,1,175,25.0,704,576,704x576,7.0,0.32,True,d4b910cce6857636359c3e10ec90d438
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_54.mp4,videyyyyyyyyyss_54.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.37,True,ebaff695059e51e2a11ea7fd56928d1b
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_11.mp4,videyyyyyyyyyss_11.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.54,True,efaaede45c04f4ca9031e3770fd41418
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_23.mp4,videyyyyyyzzzzzyyyss_23.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.45,True,75d9662591d6b2f965c9b39ddd8034fc
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_126.mp4,shop_lifter_126.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,2.87,True,6d1cd1558df23c74ce48c7dd7690866e
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_21.mp4,videyyyyyynnnnnnzzzzzyyyss_21.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.56,True,bd6a21f083bf6a085eb802b1db6d33b2
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_47.mp4,videppppsss_47.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.47,True,0258ff113893ff365d20ccc924e7b6c5
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_93.mp4,videmmmmmmsss_93.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,0.41,True,a635f77cb27e74dbfa3f45f68640b214
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_87.mp4,shop_lifter_87.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,2.62,True,68dfc32e7e4630e492b815dcdb5b5624
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_102.mp4,videmmmmmmsss_102.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,0.38,True,90f72d6ce8e34fcefebcac40124c4fd7
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_56.mp4,shop_lifter_56.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.82,True,b9e0f708a8695e48ec4db0805a9fe9f6
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_20.mp4,videyyyyyynnnnnnzzzzzyyyss_20.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.56,True,5ec9c2ce2f276b1f4e542ebf0d336222
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_27.mp4,videyyyyyynnnnnnzzzzzyyyss_27.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.56,True,a64f2646458020cd62ecd0ef6270845b
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_116.mp4,shop_lifter_116.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,2.93,True,83d959daa1f111a4dd06d282a451fa2d
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_5.mp4,videyyyyyyzzzzzyyyss_5.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.5,True,c33151f21f69f1849782056719fee833
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_100.mp4,shop_lifter_100.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,2.65,True,e0e2a384848c2704f57e0b464a638cca
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_31.mp4,videppppsss_31.mp4,shop lifters,1,425,25.0,704,576,704x576,17.0,0.72,True,28067d873a5cdd9b6cc3fc383157b147
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_34.mp4,videppppsss_34.mp4,shop lifters,1,400,25.0,704,576,704x576,16.0,0.66,True,e0700b0e8ea4e9266eac74dd87174dd6
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_14.mp4,videyyyyyyzzzzzyyyss_14.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.37,True,6b6d2adf573dc2587b10beb016bef8ee
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_72.mp4,shop_lifter_72.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,2.05,True,182c31f05b721b030db1bcdef67b97da
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_20.mp4,videyyyyyyyyyss_20.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.53,True,eba32722fdb66f60ed22aa544a8f0d92
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_52.mp4,shop_lifter_52.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.9,True,5b90f425ff3c4fa267048daeee1f84d4
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_36.mp4,shop_lifter_36.mp4,shop lifters,1,396,24.75,704,576,704x576,16.0,3.13,True,947e86b8f5b6972dee9f8cea8e1c4fa1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_32.mp4,videppppsss_32.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.58,True,a0384a5970d41bb3a43c17211fd89622
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_23.mp4,videppppsss_23.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,0.62,True,71f5b3965004488498286dc4129daaf6
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_49.mp4,videyyyyyyyyyss_49.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.39,True,ef390e5443b7d03512e5a0a12589be00
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_18.mp4,shop_lifter_18.mp4,shop lifters,1,396,24.75,704,576,704x576,16.0,2.98,True,bfa3f206efc1e0de046f102cb594a6c7
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_124.mp4,shop_lifter_124.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,3.11,True,41d17317dd4280e559cafa07a3a9bc83
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_61.mp4,shop_lifter_61.mp4,shop lifters,1,198,24.75,704,576,704x576,8.0,1.66,True,def42c2c8d9a66d531924ee8764bd551
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_50.mp4,videyyyyyyyyyss_50.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.36,True,2713546d697fd01043ebadf0c80437a8
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_4.mp4,videyyyyyynnnnnnzzzzzyyyss_4.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,0.65,True,24d4bfd76a0561e882598a1d7ef4a956
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_16.mp4,videyyyyyyzzzzzyyyss_16.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.44,True,5876c2d7b3e555f482da219828a11c2b
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_98.mp4,shop_lifter_98.mp4,shop lifters,1,400,25.0,704,576,704x576,16.0,2.99,True,5387473c69796bc89cd643a2e890fc61
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_27.mp4,videyyyyyyyyyss_27.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.42,True,b6f446124066b2cdddd8e2119e2949f9
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_29.mp4,shop_lifter_29.mp4,shop lifters,1,396,24.75,704,576,704x576,16.0,2.98,True,8a38ae88079c64c9e8611973fc400fb7
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_115.mp4,shop_lifter_115.mp4,shop lifters,1,400,25.0,704,576,704x576,16.0,3.05,True,b517f91317f3fdc457907590f553ef1d
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_101.mp4,shop_lifter_101.mp4,shop lifters,1,375,25.0,704,576,704x576,15.0,2.83,True,96dd69deebebed563ebec00aaf998acd
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_34.mp4,shop_lifter_34.mp4,shop lifters,1,223,24.75,704,576,704x576,9.01,1.77,True,245a55d4a23aa9b03fc7f9ea8a76cd93
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_13.mp4,videyyyyyynnnnnnzzzzzyyyss_13.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.53,True,7cdb8bd54c040a5fb25afe8365725f6d
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_60.mp4,shop_lifter_60.mp4,shop lifters,1,174,24.75,704,576,704x576,7.03,1.45,True,f8856cc98d01857caba43229fabd8ebb
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_24.mp4,videyyyyyyzzzzzyyyss_24.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.55,True,2cc6555e530c0a4a11a77b1abb60883b
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_1.mp4,videyyyyyynnnnnnzzzzzyyyss_1.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,0.57,True,1a63e94eca065f5c922c452d4e51b1ae
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_9.mp4,videyyyyyyzzzzzyyyss_9.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.36,True,93c1cbd49cd27ec72176fb6671de0b82
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_14.mp4,videyyyyyynnnnnnzzzzzyyyss_14.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.39,True,6220126e7a9d244fa2b3bd16cdebef6d
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_9.mp4,videyyyyyynnnnnnzzzzzyyyss_9.mp4,shop lifters,1,300,25.0,704,576,704x576,12.0,0.57,True,0339d3bc205d3c5c94176cd54555ea23
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_30.mp4,videyyyyyyyyyss_30.mp4,shop lifters,1,175,25.0,704,576,704x576,7.0,0.35,True,bfd8a3c24ea861bb493dccec152dfddb
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_22.mp4,shop_lifter_22.mp4,shop lifters,1,396,24.75,704,576,704x576,16.0,3.01,True,bbe97e26a7fb8885c2edc266aa04abf7
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_1.mp4,videyyyyyyyyyss_1.mp4,shop lifters,1,275,25.0,704,576,704x576,11.0,0.5,True,c1c6de99ef3671540adcc711a306fe23
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_47.mp4,shop_lifter_47.mp4,shop lifters,1,372,24.75,704,576,704x576,15.03,3.3,True,98336e682ca298dae6b32ea15c3401bc
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_21.mp4,videyyyyyyzzzzzyyyss_21.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.36,True,6eec6a03216033816e75e98c68edbfbe
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_91.mp4,shop_lifter_91.mp4,shop lifters,1,525,25.0,704,576,704x576,21.0,3.9,True,5bf8ce51a2fb07ca2dce0d9dd6333093
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_15.mp4,videyyyyyyyyyss_15.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.6,True,b4cf35f0318737f8689d444f6a9f4738
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_10.mp4,videyyyyyyzzzzzyyyss_10.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.29,True,8f54831a9997295ab5d63bfe2fc822ee
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_104.mp4,shop_lifter_104.mp4,shop lifters,1,350,25.0,704,576,704x576,14.0,2.62,True,cc540766113ee57a017a140e3f8fd366
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_58.mp4,shop_lifter_58.mp4,shop lifters,1,273,24.75,704,576,704x576,11.03,2.25,True,cc069d5a345a9ca705eb4d3ebe9d5d7e
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_19.mp4,videyyyyyyzzzzzyyyss_19.mp4,shop lifters,1,250,25.0,704,576,704x576,10.0,0.56,True,1e25d27d31e495fcebccef8f9ccb35fb
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_17.mp4,videyyyyyynnnnnnzzzzzyyyss_17.mp4,shop lifters,1,225,25.0,704,576,704x576,9.0,0.45,True,65a57c01f7f1ed85e6f6e156bf2013f7
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_25.mp4,videyyyyyynnnnnnzzzzzyyyss_25.mp4,shop lifters,1,200,25.0,704,576,704x576,8.0,0.36,True,54a19b22ce3b84d154236392a1a01384
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_22.mp4,videyyyyyyyyyss_22.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.76,True,6713bb12a08d008fdc042b5ce9469ec4
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_39.mp4,videppppsss_39.mp4,shop lifters,1,425,25.0,704,576,704x576,17.0,0.73,True,56ac1611a4695057895d3d1f6ab347bc
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_77.mp4,shop_lifter_77.mp4,shop lifters,1,273,24.75,704,576,704x576,11.03,2.26,True,f18f551473ec3ddf65a395ada978ab60
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_11.mp4,videyyyyyynnnnnnzzzzzyyyss_11.mp4,shop lifters,1,325,25.0,704,576,704x576,13.0,0.77,True,60519988711cbaceb0c9ccd5f1889632
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_22.mp4,videyyyyyynnnnnnzzzzzyyyss_22.mp4,shop lifters,1,175,25.0,704,576,704x576,7.0,0.33,True,7b72b1ca13fb25e765fba49370c6b402
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_85.mp4,videmmmmmmsss_85.mp4,shop lifters,1,248,24.75,704,576,704x576,10.02,0.36,True,ca0a8c5e794f1f5332da8c9709094e28
