path,filename,class_name,label
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_111.mp4,shop_lifter_111.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_19.mp4,videyyyyyyyyyss_19.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_10.mp4,videyyyyyyzzzzzyyyss_10.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_29.mp4,videyyyyyynnnnnnzzzzzyyyss_29.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_39_1.mp4,shop_lifter_n_39_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_15.mp4,videyyyyyyzzzzzyyyss_15.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_43.mp4,videppppsss_43.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_17.mp4,videyyyyyyyyyss_17.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_21.mp4,videyyyyyyyyyss_21.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_4.mp4,videyyyyyynnnnnnzzzzzyyyss_4.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_20_1.mp4,shop_lifter_n_20_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_35.mp4,shop_lifter_35.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_10.mp4,videyyyyyyyyyss_10.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_6.mp4,shop_lifter_6.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_31_1.mp4,shop_lifter_n_31_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_41.mp4,videppppsss_41.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_186.mp4,shop_lifter_n_186.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_1.mp4,shop_lifter_1.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_175_1.mp4,shop_lifter_n_175_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_56.mp4,shop_lifter_56.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_96.mp4,shop_lifter_96.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_185.mp4,shop_lifter_n_185.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_3.mp4,videyyyyyyyyyss_3.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_187_1.mp4,shop_lifter_n_187_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_95.mp4,videmmmmmmsss_95.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_44.mp4,shop_lifter_n_44.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_52.mp4,videppppsss_52.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_117.mp4,shop_lifter_117.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_21.mp4,videppppsss_21.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_58.mp4,videyyyyyyyyyss_58.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_5.mp4,videyyyyyyzzzzzyyyss_5.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_126.mp4,shop_lifter_126.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_33.mp4,videppppsss_33.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_71.mp4,shop_lifter_71.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_5.mp4,videyyyyyyyyyss_5.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_111_1.mp4,shop_lifter_n_111_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_6.mp4,videyyyyyyzzzzzyyyss_6.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_26.mp4,videppppsss_26.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_214.mp4,shop_lifter_n_214.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_97.mp4,videmmmmmmsss_97.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_17.mp4,videyyyyyyzzzzzyyyss_17.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_188_1.mp4,shop_lifter_n_188_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_174.mp4,shop_lifter_n_174.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_50.mp4,videyyyyyyyyyss_50.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_34.mp4,videyyyyyyyyyss_34.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_123.mp4,shop_lifter_n_123.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_13.mp4,videyyyyyynnnnnnzzzzzyyyss_13.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_25_1.mp4,shop_lifter_n_25_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_27.mp4,shop_lifter_n_27.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_14_1.mp4,shop_lifter_n_14_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videossssstttsss_48.mp4,videossssstttsss_48.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_93.mp4,shop_lifter_93.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_8.mp4,videppppsss_8.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_14.mp4,videyyyyyyyyyss_14.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_53.mp4,shop_lifter_53.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_211.mp4,shop_lifter_n_211.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_113.mp4,shop_lifter_113.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_90.mp4,shop_lifter_n_90.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_58.mp4,shop_lifter_58.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_107_1.mp4,shop_lifter_n_107_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_37_1.mp4,shop_lifter_n_37_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_123.mp4,shop_lifter_123.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_116.mp4,shop_lifter_116.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_27.mp4,videyyyyyyyyyss_27.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_210_1.mp4,shop_lifter_n_210_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_44.mp4,videppppsss_44.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_19.mp4,videyyyyyyzzzzzyyyss_19.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_3.mp4,videppppsss_3.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_0.mp4,videyyyyyynnnnnnzzzzzyyyss_0.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_56.mp4,videyyyyyyyyyss_56.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_173.mp4,shop_lifter_n_173.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_53.mp4,videppppsss_53.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_48.mp4,shop_lifter_48.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_34.mp4,shop_lifter_34.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_90.mp4,videmmmmmmsss_90.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_179.mp4,shop_lifter_n_179.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_184_1.mp4,shop_lifter_n_184_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_40.mp4,shop_lifter_40.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_52.mp4,videyyyyyyyyyss_52.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_22.mp4,videyyyyyyzzzzzyyyss_22.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_2.mp4,videppppsss_2.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_89.mp4,videmmmmmmsss_89.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_46.mp4,videppppsss_46.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_52.mp4,shop_lifter_n_52.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_29_1.mp4,shop_lifter_n_29_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_30.mp4,videppppsss_30.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_26.mp4,videppppsss_26.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_77.mp4,shop_lifter_77.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_41.mp4,videyyyyyyyyyss_41.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_21.mp4,videyyyyyynnnnnnzzzzzyyyss_21.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_109.mp4,shop_lifter_n_109.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_55.mp4,shop_lifter_55.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_51.mp4,shop_lifter_51.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_177_1.mp4,shop_lifter_n_177_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_2.mp4,shop_lifter_2.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_32.mp4,videppppsss_32.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_25.mp4,videyyyyyyyyyss_25.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_110.mp4,shop_lifter_110.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_6.mp4,videyyyyyynnnnnnzzzzzyyyss_6.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_16.mp4,videyyyyyyzzzzzyyyss_16.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_44.mp4,shop_lifter_44.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_62.mp4,shop_lifter_62.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_20.mp4,videyyyyyyyyyss_20.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_21.mp4,shop_lifter_n_21.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_180_1.mp4,shop_lifter_n_180_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_114.mp4,shop_lifter_114.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_49.mp4,videyyyyyyyyyss_49.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_121.mp4,shop_lifter_121.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_29.mp4,shop_lifter_29.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_99.mp4,videmmmmmmsss_99.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_36.mp4,shop_lifter_36.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_103.mp4,shop_lifter_103.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_32.mp4,videppppsss_32.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_26_1.mp4,shop_lifter_n_26_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_23.mp4,shop_lifter_23.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_114.mp4,shop_lifter_n_114.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_108.mp4,shop_lifter_108.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_9.mp4,videyyyyyynnnnnnzzzzzyyyss_9.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_6_1.mp4,shop_lifter_n_6_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_95.mp4,shop_lifter_95.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_168_1.mp4,shop_lifter_n_168_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_60.mp4,shop_lifter_60.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_11.mp4,videyyyyyyzzzzzyyyss_11.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_3.mp4,shop_lifter_3.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_13.mp4,videppppsss_13.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_34.mp4,videppppsss_34.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_64.mp4,shop_lifter_64.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_92.mp4,shop_lifter_92.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_35.mp4,shop_lifter_n_35.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_39.mp4,videppppsss_39.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_28.mp4,videppppsss_28.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_13_1.mp4,shop_lifter_n_13_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_6.mp4,videyyyyyyyyyss_6.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_116.mp4,shop_lifter_n_116.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_15_1.mp4,shop_lifter_n_15_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_23.mp4,videyyyyyyzzzzzyyyss_23.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_120.mp4,shop_lifter_120.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_53.mp4,videyyyyyyyyyss_53.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_153.mp4,shop_lifter_n_153.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_34_1.mp4,shop_lifter_n_34_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_20.mp4,videppppsss_20.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_9_1.mp4,shop_lifter_n_9_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_71_1.mp4,shop_lifter_n_71_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_12.mp4,videppppsss_12.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_87.mp4,shop_lifter_87.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_51.mp4,videyyyyyyyyyss_51.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_31.mp4,videppppsss_31.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_40.mp4,videppppsss_40.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_23.mp4,videyyyyyynnnnnnzzzzzyyyss_23.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_46.mp4,shop_lifter_46.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_80.mp4,shop_lifter_80.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_10.mp4,shop_lifter_n_10.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_7.mp4,videyyyyyyyyyss_7.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_107.mp4,shop_lifter_107.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_29.mp4,videppppsss_29.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_24.mp4,shop_lifter_n_24.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_0.mp4,videppppsss_0.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_1.mp4,videyyyyyyyyyss_1.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_154.mp4,shop_lifter_n_154.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_65.mp4,shop_lifter_65.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_25.mp4,videyyyyyynnnnnnzzzzzyyyss_25.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_30.mp4,videyyyyyyyyyss_30.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_35.mp4,videyyyyyyyyyss_35.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_36.mp4,videppppsss_36.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_29.mp4,videyyyyyyyyyss_29.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_94.mp4,shop_lifter_94.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_22.mp4,shop_lifter_22.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_45.mp4,shop_lifter_45.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_16.mp4,shop_lifter_n_16.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_7.mp4,videyyyyyynnnnnnzzzzzyyyss_7.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_38.mp4,shop_lifter_38.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_10.mp4,videppppsss_10.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_54_1.mp4,shop_lifter_n_54_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_5_1.mp4,shop_lifter_n_5_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_12.mp4,shop_lifter_n_12.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_14.mp4,videyyyyyyzzzzzyyyss_14.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_63.mp4,shop_lifter_63.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_8.mp4,videyyyyyyyyyss_8.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyynnnnnnzzzzzyyyss_3.mp4,videyyyyyynnnnnnzzzzzyyyss_3.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_18.mp4,videyyyyyyyyyss_18.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_54.mp4,videppppsss_54.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_47.mp4,shop_lifter_n_47.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_67.mp4,shop_lifter_67.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_170.mp4,shop_lifter_n_170.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_97.mp4,shop_lifter_97.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_50.mp4,shop_lifter_50.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videppppsss_49.mp4,videppppsss_49.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_85_1.mp4,shop_lifter_n_85_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/shop_lifter_66.mp4,shop_lifter_66.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_49.mp4,shop_lifter_n_49.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/videppppsss_46.mp4,videppppsss_46.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_207.mp4,shop_lifter_n_207.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videmmmmmmsss_93.mp4,videmmmmmmsss_93.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_57.mp4,videyyyyyyyyyss_57.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_32.mp4,videyyyyyyyyyss_32.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/non shop lifters/shop_lifter_n_151_1.mp4,shop_lifter_n_151_1.mp4,non shop lifters,0
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyzzzzzyyyss_1.mp4,videyyyyyyzzzzzyyyss_1.mp4,shop lifters,1
/content/ShopDataSet/Shop DataSet/shop lifters/videyyyyyyyyyss_9.mp4,videyyyyyyyyyss_9.mp4,shop lifters,1
